Year,Round,GP_Name,Driver,fp2_TotalLaps,fp2_FastestLap,Q1_Time,Q2_Time,Q3_Time,Race_Position,Race_Points,Race_Status,Race_TotalLaps,Race_FastestLap
2018,1,Australian Grand Prix,ALO,28,85.2,83.597,83.692,,5,10,Finished,58,86.978
2018,1,Australian Grand Prix,BOT,34,84.159,83.686,82.089,,8,4,Finished,58,87.019
2018,1,Australian Grand Prix,ERI,31,86.814,84.556,,,19,0,Steering,6,92.21
2018,1,Australian Grand Prix,GAS,39,85.945,85.295,,,18,0,Engine,14,90.649
2018,1,Australian Grand Prix,GRO,34,84.648,83.671,83.468,83.339,16,0,Wheel,24,88.805
2018,1,Australian Grand Prix,HAM,34,83.931,82.824,82.051,81.164,2,18,Finished,58,86.444
2018,1,Australian Grand Prix,HAR,40,85.925,84.532,,,15,0,+1 Lap,57,88.176
2018,1,Australian Grand Prix,HUL,35,85.471,83.782,83.544,83.532,7,6,Finished,58,87.081
2018,1,Australian Grand Prix,LEC,35,86.815,84.636,,,13,0,Finished,58,88.759
2018,1,Australian Grand Prix,MAG,30,85.246,83.909,83.3,83.187,17,0,Wheel,22,89.534
2018,1,Australian Grand Prix,OCO,33,85.888,84.503,84.786,,12,0,Finished,58,87.6
2018,1,Australian Grand Prix,PER,29,85.413,84.344,84.005,,11,0,Finished,58,87.633
2018,1,Australian Grand Prix,RAI,39,84.214,83.096,82.507,81.828,3,15,Finished,58,86.373
2018,1,Australian Grand Prix,RIC,28,84.721,83.494,82.897,82.152,4,12,Finished,58,85.945
2018,1,Australian Grand Prix,SAI,35,85.39,83.529,83.061,83.577,10,1,Finished,58,87.944
2018,1,Australian Grand Prix,SIR,37,85.974,84.922,,,20,0,Brakes,5,92.573
2018,1,Australian Grand Prix,STR,32,85.543,84.464,84.23,,14,0,Finished,58,88.511
2018,1,Australian Grand Prix,VAN,33,85.285,84.073,83.853,,9,2,Finished,58,86.958
2018,1,Australian Grand Prix,VER,34,84.058,83.483,82.416,81.879,6,8,Finished,58,86.88
2018,1,Australian Grand Prix,VET,38,84.46,83.348,81.944,81.838,1,25,Finished,58,86.469
2018,2,Bahrain Grand Prix,ALO,29,91.282,90.53,90.212,,7,6,+1 Lap,56,94.168
